word,embedding
!=,"[-0.7121086716651917, 0.35194525122642517, 0.8218852877616882, -0.9182976484298706, 0.8918125629425049, -1.2758995294570923, 0.06529788672924042, -0.17542588710784912, 1.2247636318206787, -0.3573128283023834, -0.5934599041938782, 0.1493973284959793, -0.6981879472732544, 0.5936764478683472, 1.4151408672332764, 0.1355050802230835]"
(,"[0.5109527111053467, 0.4995727241039276, -1.1059060096740723, -1.2767062187194824, 0.8663042187690735, 0.010371151380240917, 0.4442741274833679, -0.5403193831443787, 0.2917407751083374, -1.7708152532577515, -0.361985445022583, 0.40127018094062805, 0.27707430720329285, 1.1169836521148682, 0.7961836457252502, 1.476203203201294]"
),"[0.13928289711475372, 0.510013997554779, -0.3747938275337219, -0.9049264192581177, 0.9607271552085876, -0.2812196910381317, 0.8376359343528748, -0.5062448978424072, 0.18717478215694427, -1.3831431865692139, -0.517829954624176, 0.18706761300563812, 0.15512123703956604, 0.8529167175292969, 0.7228816747665405, 0.8775126934051514]"
*,"[0.3030768930912018, -0.05415811017155647, 0.9132247567176819, -0.7554866075515747, 0.3507692813873291, -0.943170428276062, -1.149723768234253, 0.6646583080291748, -0.8314436674118042, -0.27518990635871887, -0.7242539525032043, 0.043571457266807556, -0.9931928515434265, 0.7702215909957886, -0.4659433662891388, 2.3841657638549805]"
+,"[-0.34428679943084717, 2.0883591175079346, 1.4276293516159058, 0.04734962433576584, 1.9371328353881836, 0.5844449996948242, 0.7954209446907043, 0.04546308144927025, 0.16900946199893951, -1.6736674308776855, 0.27473941445350647, 1.60164213180542, -0.7647705078125, 0.7569618821144104, 0.20227216184139252, 0.45489105582237244]"
",","[1.8777073621749878, 1.2538368701934814, -0.17348571121692657, -0.805748462677002, 1.5030559301376343, -1.6702631711959839, -0.19597715139389038, -1.0561388731002808, 1.0134354829788208, -1.0154032707214355, 0.1508462131023407, 1.4023948907852173, -1.4446327686309814, 0.5766699910163879, -0.26295503973960876, 1.3047674894332886]"
-,"[-0.25992152094841003, 1.5953457355499268, 0.8486794829368591, 0.8143742084503174, 2.086813449859619, 1.135866641998291, -1.1877621412277222, -0.6960425972938538, 0.47823697328567505, -0.6028086543083191, -1.263203501701355, 0.3749946355819702, 1.0627548694610596, 0.7714517116546631, -0.7757823467254639, -0.13219065964221954]"
.,"[-0.7441996932029724, -0.2275940328836441, 0.3081202208995819, -0.7522009015083313, -0.7680939435958862, -0.6919438242912292, -0.18249669671058655, 0.009944910183548927, 0.5816494226455688, -0.5990626811981201, -0.09865862131118774, 0.8680083751678467, 0.0407794788479805, 0.44046443700790405, 0.5506298542022705, 0.22012567520141602]"
/,"[1.098892331123352, 0.26195189356803894, 1.6156753301620483, -0.011177543550729752, 0.13838791847229004, -0.12254901230335236, -0.05531580373644829, -0.7432973980903625, -1.3098803758621216, -1.7935638427734375, -0.147294819355011, 0.8222929239273071, 0.4249040484428406, 1.5576746463775635, 0.20489922165870667, 0.6315657496452332]"
;,"[0.1135978251695633, 0.021205279976129532, 0.4440004229545593, -0.6178584694862366, 0.08257503807544708, -0.3734242022037506, -0.6842494010925293, -0.03777593374252319, -0.14299704134464264, -0.32369956374168396, -0.752894401550293, 0.22200487554073334, -0.4932902157306671, 0.1530304104089737, -0.3523453176021576, 1.0015697479248047]"
<,"[-1.1202239990234375, 1.406490445137024, 1.4314132928848267, -0.45772722363471985, 2.2430052757263184, -0.19642652571201324, 0.32629895210266113, 1.0083929300308228, 0.08821137994527817, -0.2685090899467468, 0.7682195901870728, 2.719635009765625, -1.115295171737671, 1.0880396366119385, -0.29921048879623413, 0.3713705241680145]"
<=,"[-0.4082881510257721, 1.6498421430587769, 1.2407402992248535, -0.8903466463088989, 0.6008903980255127, 1.4006493091583252, -0.5328198075294495, -0.2778511345386505, -0.9291289448738098, -2.0798556804656982, 0.9849823713302612, 0.5461305975914001, 0.5031545162200928, 1.3490349054336548, -0.7958173155784607, -0.18910954892635345]"
<>,"[-0.22332684695720673, 0.1816389262676239, 1.6304166316986084, -1.094168782234192, 1.938281774520874, -2.0005507469177246, 0.23934538662433624, 0.2210543155670166, 1.3756498098373413, -0.7665900588035583, 0.38628464937210083, -0.27862176299095154, -0.4428216516971588, 1.1564269065856934, 1.176956295967102, 1.1384721994400024]"
<ALIAS_T1>,"[-0.08054069429636002, -0.852178692817688, 1.8679925203323364, -0.44064658880233765, 1.6492236852645874, -2.1181695461273193, -1.1247574090957642, 0.20849396288394928, -0.5966402888298035, -0.48545485734939575, -0.9607747197151184, -0.36184337735176086, -0.193574458360672, 0.09859389066696167, -0.3866669833660126, 1.8561818599700928]"
<COL_OUT>,"[0.3055422008037567, 0.9125896096229553, 0.5255126953125, -0.2410503625869751, 0.8306226134300232, -0.9418085813522339, -1.0887126922607422, -0.32328757643699646, -0.5519037842750549, -2.3512609004974365, -1.4071440696716309, -0.688819944858551, -0.9172158241271973, 0.14326442778110504, -0.8357943296432495, 0.7536848783493042]"
<DATE>,"[-1.592100977897644, 1.4118201732635498, 1.5058032274246216, 1.3472447395324707, 1.249470591545105, -0.18204258382320404, 0.326459676027298, 1.095262885093689, 0.0617586188018322, -1.7847678661346436, -1.1861591339111328, 0.30321353673934937, 0.8281456828117371, 1.6779314279556274, -0.31828996539115906, 0.7884340286254883]"
<NULL>,"[0.9880211353302002, 0.249002605676651, 1.7891517877578735, -0.10326621681451797, 0.4493725299835205, -0.2576329708099365, 0.08922310173511505, -0.5226725339889526, -1.2132372856140137, -1.5025991201400757, -0.013329656794667244, 0.4661717414855957, -0.02140793763101101, 1.5435874462127686, -0.05827772617340088, 0.5493748188018799]"
<NUM>,"[-0.1608603596687317, 0.9902325868606567, 1.1404706239700317, -0.6012465357780457, 0.2637574374675751, 0.39927348494529724, 0.8010377287864685, -0.8134352564811707, 0.8165056705474854, -1.4779239892959595, 0.059006933122873306, 0.3659001886844635, 0.7264850735664368, 0.6405513882637024, -0.7940182685852051, 0.4051012098789215]"
<STR>,"[-1.4956855773925781, 0.8286226391792297, -0.2644036114215851, -1.5513516664505005, 0.2598716616630554, 0.738619327545166, -0.49477431178092957, -1.1890405416488647, 0.44283196330070496, -1.37357759475708, 0.500770092010498, 0.04792541265487671, -1.1968605518341064, 1.2493995428085327, 0.7916807532310486, 0.749020516872406]"
<TIMESTAMP>,"[-0.41932523250579834, 0.44507765769958496, 1.9668927192687988, -0.439386248588562, 0.4188889265060425, 1.0373495817184448, -1.0259066820144653, 0.3259929120540619, -0.29627659916877747, -0.7507680058479309, -0.7227231860160828, 0.8967799544334412, 0.3035851716995239, 0.37454020977020264, -0.060099046677351, 0.3751172125339508]"
=,"[-0.0861487165093422, -0.23961906135082245, -0.08185841888189316, -0.09221865236759186, -0.37463006377220154, -1.0541043281555176, -0.37954092025756836, 0.3763394057750702, 0.43603086471557617, -0.7378889918327332, -0.41721421480178833, 1.0992701053619385, 0.11840912699699402, 0.7807649970054626, 0.4509456753730774, -1.1158666610717773]"
>,"[1.122249722480774, -0.2012665867805481, 1.490285873413086, -1.2516531944274902, 1.8892862796783447, -0.554909884929657, 0.5987865924835205, 0.4865209758281708, -1.6791768074035645, -1.3719136714935303, 1.7157890796661377, 1.7992080450057983, -0.2916218042373657, 1.001555323600769, -0.20874741673469543, 0.7608910202980042]"
>=,"[-0.4895437955856323, 1.3489174842834473, 2.0278208255767822, -0.8284322023391724, 1.0392234325408936, 0.8562735319137573, -0.372146338224411, 0.17880253493785858, 0.4734449088573456, -1.2549175024032593, 0.7936843037605286, 1.5893150568008423, 0.4355483651161194, 0.5535656213760376, -1.109190583229065, -0.8845818638801575]"
AKA_NAME,"[-1.9393101930618286, 0.9291960597038269, 0.47314804792404175, 0.826261043548584, -0.08867640793323517, -0.7214537858963013, -1.9471538066864014, -0.04935101047158241, -1.1547049283981323, -0.05514278635382652, 0.4885372221469879, 1.61198091506958, 0.14529430866241455, 1.5479079484939575, 0.7569029927253723, 1.9273524284362793]"
AKA_TITLE,"[-0.521414041519165, -0.037722546607255936, 1.0840154886245728, 0.31867891550064087, 0.5630047917366028, -0.8592119216918945, -0.17361105978488922, -1.2966415882110596, 0.10208730399608612, 0.31789252161979675, 0.5359684228897095, 1.987760066986084, -0.7508208155632019, 0.7347198724746704, -0.2661603093147278, 0.7647885084152222]"
ALL_NATIONS,"[-0.44802331924438477, 0.4528030455112457, 0.2842865586280823, 0.5096514821052551, 1.3926101922988892, -0.6979225873947144, 0.18005400896072388, 0.6623534560203552, 0.003141045104712248, -1.4656342267990112, -0.3177015483379364, 0.22212879359722137, 0.7717093229293823, 0.5845343470573425, -0.4808482229709625, 0.7149558067321777]"
ALL_SALES,"[0.20496314764022827, 1.493370771408081, 0.3258838653564453, 0.254070520401001, 1.1543186902999878, -0.3036600351333618, -0.5366115570068359, -0.5131289958953857, 0.3850434124469757, -1.8400166034698486, -0.7220949530601501, -0.09005307406187057, 0.628237783908844, 0.32963132858276367, -0.4281178116798401, -0.14369282126426697]"
AND,"[-0.21512044966220856, 0.3347410261631012, 0.17569062113761902, 0.18467482924461365, 0.08013155311346054, -1.1266098022460938, 0.30535468459129333, 0.25037717819213867, 0.5116658806800842, -1.1781938076019287, -0.8060314059257507, 0.2230200171470642, 0.8684914708137512, 0.7135095000267029, 0.7321949601173401, -0.1747576892375946]"
ANSWERCOUNT,"[-0.09114611893892288, 0.62839275598526, 1.542941689491272, -0.43779224157333374, 0.035809699445962906, 0.5322771668434143, -0.9008912444114685, 0.34252816438674927, -0.06993481516838074, -0.5243564248085022, -0.5041353702545166, 0.7119128108024597, 0.5392830967903137, 0.2570897936820984, 0.034504782408475876, 0.4568977355957031]"
ANY,"[0.8358438014984131, 0.928162693977356, -0.15204152464866638, -0.5006648898124695, 0.45923522114753723, -0.42744866013526917, -0.5174307227134705, -0.6711603999137878, 1.2355271577835083, -1.0821260213851929, 0.5135626196861267, 1.035918116569519, -0.940117597579956, 0.8328243494033813, -0.5374128818511963, 0.5152344107627869]"
AS,"[-1.337453842163086, 1.6524914503097534, -0.2421501874923706, -0.6417208313941956, 1.6419364213943481, -0.6678351163864136, -0.9675018787384033, 0.8054633140563965, 0.8281455636024475, -1.3946290016174316, -0.8299857974052429, -0.5482994914054871, 0.6258139610290527, -0.011379831470549107, -1.0224838256835938, 1.1816160678863525]"
ASC,"[0.04991592839360237, 0.10355152934789658, 0.2540648877620697, -0.1394909769296646, 0.3903457224369049, -0.19108568131923676, -0.34809553623199463, -0.09849096089601517, 0.005720830522477627, -0.6016935110092163, -0.3560759127140045, 0.33542370796203613, -0.16395194828510284, 0.2533360421657562, -0.16048112511634827, 0.28269216418266296]"
AVG,"[0.45371419191360474, 0.4243415892124176, 0.46345216035842896, -0.3896964192390442, 0.48128947615623474, -0.32413458824157715, -0.42840123176574707, 0.05473726615309715, -0.4838889241218567, -1.0044374465942383, -0.8418183326721191, -0.0036215505097061396, -0.5932379961013794, 0.4691988229751587, -0.8260195851325989, 1.3602125644683838]"
B1,"[0.054102446883916855, 0.42473408579826355, 0.24594955146312714, -0.19075044989585876, 0.520435631275177, -0.16767936944961548, -0.0655604749917984, 0.07862560451030731, 0.028101816773414612, -0.7131164073944092, -0.44732221961021423, 0.10399749130010605, -0.2606317698955536, 0.3349890112876892, -0.35034218430519104, 0.5869804620742798]"
B2,"[0.06026003137230873, 0.38729992508888245, 0.20741181075572968, -0.17660248279571533, 0.4687499403953552, -0.07244068384170532, -0.1317918300628662, 0.07887459546327591, -0.0022761872969567776, -0.7634893655776978, -0.4616183638572693, 0.0494859553873539, -0.24959224462509155, 0.34245601296424866, -0.3155640959739685, 0.5677134394645691]"
B3,"[-0.01856154389679432, 0.5369817614555359, 0.3147844970226288, -0.004326468799263239, 0.4946581721305847, -0.09381261467933655, -0.07504550367593765, 0.11063090711832047, -0.10827765613794327, -0.7832226157188416, -0.3501128554344177, 0.0673261359333992, -0.03010585717856884, 0.340148001909256, -0.08523315191268921, 0.3644404709339142]"
BADGES,"[-1.2401249408721924, -0.2677803337574005, 2.0416324138641357, -1.012527346611023, 1.1386709213256836, -0.20814205706119537, -1.7055654525756836, 0.7013892531394958, 0.292513906955719, -0.4598262906074524, 0.11626027524471283, 1.0926733016967773, 0.30728819966316223, 0.2441985011100769, 0.8226966261863708, -0.12910312414169312]"
BETWEEN,"[-0.6620873808860779, 2.475017547607422, 0.05036158487200737, 0.010967549867928028, 0.7449472546577454, -0.15097767114639282, -0.20734523236751556, 0.24180041253566742, -0.5340278148651123, -2.3004801273345947, 1.397402048110962, 1.6663768291473389, 0.5015562176704407, -0.06236223876476288, -0.5956062078475952, -0.020315779373049736]"
BY,"[-0.14162951707839966, 0.05711638182401657, -0.031990665942430496, 0.14873695373535156, 0.804442822933197, -0.007176404818892479, -0.5994899272918701, 0.538401186466217, 0.09973879158496857, -0.7979660630226135, -0.983035147190094, 0.38234251737594604, -0.4389744699001312, 0.3101712167263031, -0.6107407808303833, 0.5498164296150208]"
CASE,"[0.8718757629394531, 0.2839032709598541, 1.1775531768798828, 0.19315853714942932, 0.008735583163797855, -0.19196470081806183, 0.07277039438486099, -0.5484745502471924, -0.9810522198677063, -1.4662318229675293, -0.07496672123670578, 0.46525776386260986, -0.06766289472579956, 1.5031569004058838, -0.21078720688819885, 0.8181961178779602]"
CAST,"[-0.8414309024810791, 1.6154025793075562, 0.544503927230835, 0.8913224935531616, 0.7153950929641724, 0.22223645448684692, 0.0023976198863238096, 0.46522846817970276, -0.4500458538532257, -2.2425291538238525, -0.9035900235176086, 0.40808042883872986, 0.023120837286114693, 0.9889169335365295, -0.6091538667678833, 1.185034990310669]"
CAST_INFO,"[-1.566224455833435, 0.18377164006233215, 1.0095641613006592, 0.4508378207683563, -1.1955811977386475, -1.5689986944198608, -0.963371217250824, -0.7347370982170105, -0.04414256289601326, -0.09394728392362595, 0.3363206684589386, 1.6562435626983643, -0.6679465770721436, 0.5940953493118286, 1.0792680978775024, 2.002753496170044]"
CATALOG_SALES,"[-0.5094567537307739, -0.54338139295578, 0.9271814227104187, 0.2336435765028, 0.19251284003257751, -1.0972425937652588, -2.0741453170776367, -0.36127787828445435, 0.18674276769161224, -1.3065581321716309, -1.0676766633987427, -0.007221682462841272, 1.3713197708129883, 0.8555951714515686, 1.2025889158248901, 0.15338121354579926]"
